TM,Week,Games,LiteNite,Opponents,OppOff,OffMatchUp,B2B,Away,GamesRestOfWeek,GamesROS,Key
ANA,1,2,0,"SEA, S.J",13%,"Excellent [13,50]",0,2,0,80,ANA1
ANA,2,3,1,"PIT, CBJ, CHI",46%,"Good [64,65,9]",0,1,0,77,ANA2
ANA,3,3,0,"NSH, BOS, T.B",30%,"Excellent [45,15,50]",0,3,0,74,ANA3
ANA,4,3,2,"FLA, DET, N.J",50%,"Good [79,22,50]",0,1,0,71,ANA4
ANA,5,4,0,"FLA, DAL, VGK, WPG",73%,"Difficult [78,75,79,61]",2,2,0,67,ANA5
ANA,6,3,0,"CGY, DET, MIN",24%,"Excellent [36,23,13]",0,3,0,64,ANA6
ANA,7,4,1,"UTA, BOS, OTT, VGK",48%,"Good [67,16,32,75]",2,0,3,60,ANA7
ANA,8,3,1,"VAN, L.A, CHI",14%,"Excellent [15,50,12]",1,1,0,57,ANA8
ANA,9,4,3,"STL, UTA, WSH, CHI",45%,"Good [22,65,79,13]",1,1,0,53,ANA9
ANA,10,3,0,"PIT, NYI, N.J",60%,"Average [64,55,50]",0,3,0,50,ANA10
ANA,11,4,2,"NYR, COL, DAL, COL",67%,"Average [60,73,62,73]",4,2,0,46,ANA11
ANA,12,2,1,"SEA, L.A",11%,"Excellent [11,50]",0,1,0,44,ANA12
ANA,13,3,1,"S.J, T.B, MIN",16%,"Excellent [50,50,16]",0,0,0,41,ANA13
ANA,14,4,1,"WSH, PHI, CBJ, BUF",53%,"Average [78,27,63,43]",2,4,0,37,ANA14
ANA,15,3,1,"DAL, L.A, L.A",54%,"Average [54,50,50]",2,1,0,34,ANA15
ANA,16,4,0,"NYR, CGY, SEA, CAR",48%,"Good [56,33,10,93]",1,3,0,30,ANA16
ANA,17,3,2,"EDM, VAN, VGK",44%,"Good [53,20,59]",1,2,0,27,ANA17
ANA,18,4,1,"SEA, EDM, WPG, CAR",50%,"Good [9,51,45,93]",0,0,0,23,ANA18
ANA,19,4,1,"CGY, NYI, MTL, STL",34%,"Good [33,49,29,24]",2,0,0,19,ANA19
ANA,20,4,0,"WPG, TOR, OTT, MTL",34%,"Good [43,40,25,29]",2,4,0,15,ANA20
ANA,21,3,1,"PHI, UTA, BUF",38%,"Good [20,54,41]",0,1,0,12,ANA21
ANA,22,3,0,"VAN, CAR, EDM",53%,"Average [24,94,41]",0,3,0,9,ANA22
ANA,23,4,3,"TOR, S.J, STL, CAR",53%,"Average [39,50,25,94]",2,1,0,5,ANA23
ANA,24,5,0,"NSH, S.J, VAN, MIN, NSH",23%,"Excellent [23,50,25,21,23]",0,2,0,0,ANA24
BOS,1,3,1,"WSH, CHI, BUF",45%,"Good [80,8,46]",2,1,0,79,BOS1
BOS,2,4,1,"T.B, VGK, CGY, UTA",64%,"Average [50,83,37,71]",2,3,0,75,BOS2
BOS,3,3,0,"FLA, ANA, CGY",48%,"Good [80,28,37]",0,0,0,72,BOS3
BOS,4,4,1,"OTT, NYI, BUF, CBJ",51%,"Average [34,60,45,64]",2,1,0,68,BOS4
BOS,5,3,0,"NYI, OTT, TOR",46%,"Good [59,34,44]",0,2,0,65,BOS5
BOS,6,3,0,"TOR, OTT, MTL",37%,"Good [44,33,33]",0,2,0,62,BOS6
BOS,7,4,2,"CBJ, ANA, L.A, S.J",48%,"Good [64,33,50,50]",0,3,3,58,BOS7
BOS,8,3,0,"NYI, NYR, DET",48%,"Good [57,63,24]",2,1,0,55,BOS8
BOS,9,3,0,"DET, STL, N.J",24%,"Excellent [25,22,50]",0,1,0,52,BOS9
BOS,10,3,0,"STL, WPG, MIN",31%,"Good [23,55,15]",0,3,0,49,BOS10
BOS,11,4,0,"UTA, EDM, VAN, OTT",44%,"Good [63,67,17,30]",2,0,0,45,BOS11
BOS,12,2,0,"MTL, BUF",37%,"Good [31,43]",0,1,0,43,BOS12
BOS,13,3,0,"CAR, EDM, VAN",58%,"Average [93,62,18]",0,3,0,40,BOS13
BOS,14,4,1,"SEA, CAR, NYR, PIT",56%,"Average [10,93,57,64]",2,1,0,36,BOS14
BOS,15,3,0,"DET, SEA, CHI",18%,"Excellent [28,10,16]",0,1,0,33,BOS15
BOS,16,3,0,"DAL, VGK, MTL",47%,"Good [51,61,30]",0,1,0,30,BOS16
BOS,17,4,2,"NYR, NSH, PHI, T.B",36%,"Good [55,30,24,50]",2,2,0,26,BOS17
BOS,18,3,0,"FLA, COL, PHI",55%,"Average [64,78,23]",0,2,0,23,BOS18
BOS,19,4,0,"PIT, NSH, WSH, PIT",58%,"Average [63,28,78,63]",2,2,0,19,BOS19
BOS,20,3,0,"L.A, S.J, WSH",77%,"Difficult [50,50,77]",0,1,0,16,BOS20
BOS,21,4,1,"N.J, MTL, WPG, DET",34%,"Good [50,28,42,32]",2,3,0,12,BOS21
BOS,22,4,1,"TOR, BUF, MIN, COL",45%,"Good [39,41,20,80]",4,2,0,8,BOS22
BOS,23,4,0,"DAL, FLA, T.B, PHI",38%,"Good [36,58,50,19]",2,3,0,4,BOS23
BOS,24,4,0,"CBJ, T.B, COL, N.J",72%,"Difficult [61,50,82,50]",2,2,0,0,BOS24
BUF,1,2,0,"NYR, BOS",42%,"Good [70,15]",0,1,0,80,BUF1
BUF,2,3,1,"CGY, OTT, FLA",51%,"Average [37,35,81]",0,0,0,77,BUF2
BUF,3,4,3,"MTL, DET, TOR, TOR",36%,"Good [33,21,44,44]",2,2,0,73,BUF3
BUF,4,3,0,"COL, BOS, WSH",55%,"Average [68,16,80]",0,1,0,70,BUF4
BUF,5,3,0,"UTA, STL, CBJ",51%,"Average [68,22,64]",0,1,0,67,BUF5
BUF,6,3,1,"UTA, CGY, DET",42%,"Good [68,36,23]",2,3,0,64,BUF6
BUF,7,4,2,"EDM, CAR, CHI, CBJ",61%,"Average [76,92,12,64]",0,0,3,60,BUF7
BUF,8,3,0,"PIT, N.J, MIN",39%,"Good [64,50,14]",2,2,0,57,BUF8
BUF,9,3,3,"WPG, PHI, WPG",48%,"Good [56,32,56]",0,2,0,54,BUF9
BUF,10,4,1,"CAR, EDM, VAN, SEA",47%,"Good [92,69,16,11]",2,4,0,50,BUF10
BUF,11,3,0,"PHI, NYI, N.J",42%,"Good [30,55,50]",2,1,0,47,BUF11
BUF,12,2,0,"OTT, BOS",24%,"Excellent [30,17]",0,1,0,45,BUF12
BUF,13,3,0,"STL, DAL, COL",52%,"Average [23,58,74]",0,3,0,42,BUF13
BUF,14,3,0,"VAN, NYR, ANA",39%,"Good [19,57,42]",0,1,0,39,BUF14
BUF,15,4,1,"FLA, PHI, MTL, MIN",35%,"Good [67,26,30,17]",2,0,0,35,BUF15
BUF,16,4,0,"CBJ, NSH, MTL, NYI",44%,"Good [62,31,30,51]",2,4,0,31,BUF16
BUF,17,3,0,"TOR, L.A, MTL",36%,"Good [41,50,30]",0,1,0,28,BUF17
BUF,18,6,1,"FLA, T.B, PIT, N.J, FLA, T.B",64%,"Average [64,50,63,50,64,50]",4,5,0,22,BUF18
BUF,19,4,0,"VGK, PIT, NSH, T.B",49%,"Good [56,63,28,50]",2,1,0,18,BUF19
BUF,20,3,0,"S.J, WSH, TOR",58%,"Average [50,77,40]",0,0,0,15,BUF20
BUF,21,4,0,"VGK, S.J, L.A, ANA",52%,"Average [53,50,50,51]",2,4,0,11,BUF21
BUF,22,3,2,"BOS, DET, SEA",20%,"Excellent [19,32,9]",2,0,0,8,BUF22
BUF,23,3,0,"NYI, OTT, WSH",49%,"Good [46,23,77]",0,2,0,5,BUF23
BUF,24,5,2,"T.B, NYR, COL, CHI, DAL",46%,"Good [50,48,82,21,34]",2,2,0,0,BUF24
CAR,1,3,1,"EDM, VAN, STL",40%,"Good [90,10,21]",2,2,0,79,CAR1
CAR,2,3,1,"VGK, UTA, VGK",79%,"Difficult [83,71,83]",2,2,0,76,CAR2
CAR,3,4,3,"WPG, MTL, WPG, NYR",57%,"Average [64,33,64,68]",0,1,0,72,CAR3
CAR,4,4,1,"TOR, OTT, NSH, PHI",40%,"Good [44,34,44,36]",2,4,0,68,CAR4
